sequence_id,kingdom,phylum,class,order,family,genus,species,confidence,method,predicted_label
A.baumannii.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
A.odontolyticus.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.cereus.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.vulgatus.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.vulgatus.2,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.vulgatus.4,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.vulgatus.5,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
B.vulgatus.7,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
C.beijerinckii.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
C.beijerinckii.3,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
C.beijerinckii.4,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
D.radiodurans.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
E.faecalis.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
E.faecalis.2,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
E.coli.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
H.pylori.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
