sequence_id,kingdom,phylum,class,order,family,genus,species,confidence,method,predicted_label
AF515816.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY688433.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
Z22781.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ582031.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AB070566.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AB070570.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY033301.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY035307.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ619051.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
U87775.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF230720.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF193818.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
D30771.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
D30774.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
DQ904772.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY553109.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY553101.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ295685.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF140004.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF539761.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF468402.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF468400.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ440983.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF468399.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF468394.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF411853.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY167274.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY167285.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF468404.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF539763.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY212590.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ534663.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ534672.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF273252.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY395028.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
D50655.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY491599.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY167275.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ849367.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY162141.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ232231.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF184220.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF170731.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF539762.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF539767.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF539777.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ289162.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY167306.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ441002.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY167291.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF511431.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
X98210.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AJ544690.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF170351.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY353696.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY486373.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AB021331.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AB166780.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AF384208.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AB021338.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY062930.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
AY689032.1,Unknown,OTU-010,Unknown,Unknown,Unknown,OTU-010,OTU-010,8.33,embedding_kmeans_fallback,OTU-010
